input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence,validation_verdict,validation_reason_codes
Capitalcredit,Franklin,TN,456894,SOUTHEAST FINANCIAL CREDIT UNION,SCU,FRANKLIN,TN,active,100.0,69.2,"state,city",strong,reject,"low_name_score,composite_capped"
Palmetto Heritage Bank & Trust,Pawleys Island,SC,586072,FIRST PALMETTO BANK,NMB,CAMDEN,SC,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
West Branch Valley Federal Credit Union,williamsport,PA,155085,WEST BRANCH VALLEY FEDERAL CREDIT UNION,FCU,WILLIAMSPORT,PA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Baltic State Bank,Baltic,OH,112510,"BALTIC STATE BANK, THE",NMB,BALTIC,OH,active,100.0,87.2,"state,city",strong,review,"moderate_name_score,composite_capped"
Tennessee Employees Credit Union,Nashville,TN,474692,TENNESSEE EMPLOYEES CREDIT UNION,SCU,NASHVILLE,TN,active,100.0,100.0,"state,city",strong,accept,composite_capped
Madison County Community Bank,Madison,FL,2805928,MADISON COUNTY COMMUNITY BANK,NMB,MADISON,FL,active,100.0,100.0,"state,city",strong,accept,composite_capped
Rutherford Credit,Murfreesboro,TN,262899,GREATER EXPERIENCE CREDIT UNION,SCU,JOHNSON CITY,TN,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Liberty Federal Savings Bank,Raton,IL,771878,FIRST FEDERAL SAVINGS BANK,FSB,OTTAWA,IL,active,100.0,88.9,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
First Liberty National Bank,Liberty,DC,5398355,FOUNDERS BANK,NMB,WASHINGTON,DC,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Iowa Trust And Savings Bank,Emmetsburg,IA,202541,IOWA TRUST AND SAVINGS BANK,NMB,CENTERVILLE,IA,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
Mint Valley Federal Credit Union,Longview,WA,272076,MINT VALLEY FEDERAL CREDIT UNION,FCU,LONGVIEW,WA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Valley Central Bank,Liberty Township,OH,320070,VALLEY CENTRAL BANK,SAL,LIBERTY TOWNSHIP,OH,active,100.0,100.0,"state,city",strong,accept,composite_capped
Kennebunk Savings Bank,Kennebunk,ME,247908,KENNEBUNK SAVINGS BANK,SSB,KENNEBUNK,ME,active,100.0,100.0,"state,city",strong,accept,composite_capped
Chocolate Bayou Community Federal Credit Union,Alvin,TX,262684,CHOCOLATE BAYOU COMMUNITY FEDERAL CREDIT UNION,FCU,ALVIN,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Maine Credit Union League,Portland,ME,169578,ATLANTIC REGIONAL FEDERAL CREDIT UNION,FCU,SOUTH PORTLAND,ME,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
First National Bank Deridder,Deridder,LA,480433,FIRST NATIONAL BANK IN DERIDDER,NAT,DERIDDER,LA,active,100.0,95.0,"state,city",strong,accept,composite_capped
Department Of The Interior Federal Credit Union,Reston,VA,996699,LR CREDIT UNION,SCU,LEXINGTON,VA,closed,100.0,86.9,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Wing Lung Bank,Newport Beach,CA,3189063,COMMERCIAL BANK OF CALIFORNIA,NMB,IRVINE,CA,active,100.0,85.5,"state,city",strong,review,"moderate_name_score,city_mismatch,composite_capped"
Embassy National Bank,Lawrenceville,GA,3482045,EMBASSY NATIONAL BANK,NAT,LAWRENCEVILLE,GA,active,100.0,100.0,"state,city",strong,accept,composite_capped
Mutual First Federal Credit Union,Omaha,NE,798491,MUTUAL FIRST FEDERAL CREDIT UNION,FCU,OMAHA,NE,active,100.0,100.0,"state,city",strong,accept,composite_capped
Henderson Federal Savings Bank,Henderson,TX,849076,HENDERSON FEDERAL SAVINGS BANK,SAL,HENDERSON,TX,active,100.0,100.0,"state,city",strong,accept,composite_capped
Heritage Community Bank,Olanta,MO,499743,HERITAGE COMMUNITY BANK,NMB,UNION,MO,active,100.0,100.0,state,strong,accept,"city_mismatch,composite_capped"
St Louis Bank,Town And Country,MO,3354599,SAINT LOUIS BANK,NMB,SAINT LOUIS,MO,active,100.0,89.7,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
Community 1St Bank,Post Falls,ID,428462,IRELAND BANK,NMB,MALAD CITY,ID,active,100.0,85.5,state,strong,review,"moderate_name_score,city_mismatch,composite_capped"
