input_name,input_city,input_state,rssd_id,matched_name,entity_type,matched_city,matched_state,status,composite_score,name_score,cues_matched,confidence
Civista Bank,Sandusky,OH,542528,CIVISTA BANK,SMB,SANDUSKY,OH,active,100.0,100.0,"state,city",strong
First Convenience Bank,Fort Worth,TX,613950,FIRST NATIONAL BANK TEXAS DBA FIRST CONVENIENCE BANK,NAT,KILLEEN,TX,active,100.0,90.0,state,strong
Advance Financial Federal Credit Union,Schererville,IN,511391,ADVANCE FINANCIAL FEDERAL CREDIT UNION,FCU,SCHERERVILLE,IN,active,100.0,100.0,"state,city",strong
Cnb Bank,Clearfield,NM,219651,CNB BANK,NMB,CARLSBAD,NM,active,100.0,100.0,"state,city",strong
Prairie Community Bank,Marengo,IL,2598396,PRAIRIE COMMUNITY BANK,NMB,MARENGO,IL,active,100.0,100.0,"state,city",strong
Level One Bank,Farmington Hills,MI,3612543,"LEVEL ONE BANCORP, INC.",FHD,FARMINGTON HILLS,MI,closed,100.0,86.7,"state,city",strong
First Republic Bank,San Francisco,CA,4114567,FIRST REPUBLIC BANK,NMB,SAN FRANCISCO,CA,closed,100.0,100.0,"state,city",strong
Mid-Atlantic Federal Credit Union,Germantown,MD,767787,MID-ATLANTIC FEDERAL CREDIT UNION,FCU,GERMANTOWN,MD,active,100.0,100.0,"state,city",strong
First Midwest Bank,Chicago,IL,1007846,FIRST MIDWEST BANK,SMB,CHICAGO,IL,closed,100.0,100.0,"state,city",strong
Michigan Legacy Credit Union,Pontiac,MI,795995,MICHIGAN LEGACY CREDIT UNION,SCU,PONTIAC,MI,active,100.0,100.0,"state,city",strong
Resource One Credit Union,Dallas,TX,473275,RESOURCE ONE CREDIT UNION,SCU,DALLAS,TX,active,100.0,100.0,"state,city",strong
Community Financial Credit Union,Plymouth,MI,271088,CORNERSTONE COMMUNITY FINANCIAL CREDIT UNION,SCU,AUBURN HILLS,MI,active,100.0,95.0,state,strong
First Federal Bank Of The Midwest,Defiance,OH,165628,FIRST FINANCIAL BANK,SMB,CINCINNATI,OH,active,100.0,85.5,state,strong
Bank Of Hope,Los Angeles,CA,671464,BANK OF HOPE,NMB,LOS ANGELES,CA,active,100.0,100.0,"state,city",strong
Beneficial State Bank,Oakland,CA,3608751,BENEFICIAL STATE BANK,NMB,OAKLAND,CA,active,100.0,100.0,"state,city",strong
First Credit Corporation,Boulder,CO,3228681,"FIRST SOUTHWEST BANCORPORATION, INC.",BHC,DURANGO,CO,active,100.0,85.5,state,strong
Franklin Mint Federal Credit Union,chadds ford,PA,253981,FRANKLIN MINT FEDERAL CREDIT UNION,FCU,CHADDS FORD,PA,active,100.0,100.0,"state,city",strong
Bank OZK,Little Rock,AR,107244,BANK OZK,NMB,LITTLE ROCK,AR,active,100.0,100.0,"state,city",strong
Brookline Bank,Boston,MA,4619688,BROOKLINE BANCORP 1031 EXCHANGE SERVICES LLC,DEO,BOSTON,MA,active,100.0,86.7,"state,city",strong
Numerica Credit Union,Spokane Valley,WA,681191,NUMERICA CREDIT UNION,SCU,SPOKANE VALLEY,WA,active,100.0,100.0,"state,city",strong
Lake Michigan Credit Union,Grand Rapids,MI,651596,LAKE MICHIGAN CREDIT UNION,SCU,GRAND RAPIDS,MI,active,100.0,100.0,"state,city",strong
Pentagon Federal Credit Union,Mclean,DC,793487,DC FEDERAL CREDIT UNION,FCU,WASHINGTON,DC,active,100.0,88.4,state,strong
Univest Bank And Trust Company,Souderton,PA,354310,UNIVEST BANK AND TRUST CO.,SMB,HILLTOWN,PA,active,100.0,89.3,state,strong
First Citizens Bank,Fort Deposit,NC,138220,CITIZENS BANK,NMB,CHARLOTTE,NC,closed,100.0,95.0,state,strong
Harborone Bank,Brockton,MA,40499,HARBORONE BANK,NMB,BROCKTON,MA,closed,100.0,100.0,"state,city",strong
Bankers Trust,New York,NY,2677844,BANKERS TRUST CO MUTUAL FUNDS,SBD,NEW YORK,NY,active,100.0,90.0,"state,city",strong
Iberiabank Corporation,Lafayette,LA,2291914,IBERIABANK CORPORATION,FHD,LAFAYETTE,LA,closed,100.0,100.0,"state,city",strong
Park National Bank,Newark,AR,12946,FARMERS BANK & TRUST COMPANY,SMB,MAGNOLIA,AR,active,100.0,85.5,state,strong
Dakota Prairie Bank,Fort Pierre,SD,6060819,"BITGO BANK & TRUST, NATIONAL ASSOCIATION",NTC,SIOUX FALLS,SD,active,100.0,85.5,state,strong
First Fidelity Bank,Oklahoma City,OK,106359,FIRST FIDELITY BANK,SMB,OKLAHOMA CITY,OK,active,100.0,100.0,"state,city",strong
